"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Contato","atualizar contato","Dados válidos","0","0","1","0","0"
"Endereco","deletar endereco por idEndereco","Dados válidos","0","0","1","0","0"
"Contratos Pessoa","","","2","0","3","0","0"
"Pessoa","lista com contatos","Dados inválidos","0","0","1","0","0"
"Contato","adicionar contato","Dados inválidos","0","0","2","0","0"
"Pessoa","consultar pessoa pelo nome","Dados válidos","0","0","1","0","0"
"Endereco","deletar endereco por idEndereco","Dados inválidos","0","0","1","0","0"
"Pessoa","lista com contatos","Dados válidos","0","0","1","0","0"
"Pessoa","lista com enderecos sem passar idPessoa","Dados válidos","0","0","1","0","0"
"Contratos Endereco","","","2","0","2","0","0"
"Pessoa","lista de enderecos","Dados inválidos","0","0","1","0","0"
"Endereco","listar endereco por idPessoa","Dados válidos","0","0","1","0","0"
"Contato","listar contato por idPessoa","Dados válidos","0","0","1","0","0"
"Pessoa","lista completa","Dados válidos","0","0","1","0","0"
"Pessoa","atualizar pessoa","Dados inválidos","0","0","1","0","0"
"Pessoa","listar relatorio","Dados válidos","0","0","1","0","0"
"Endereco","listar endereco por pagina","Dados válidos","0","0","1","0","0"
"Contato","deletar contato","Dados válidos","0","0","1","0","0"
"Endereco","listar endereco por país","Dados válidos","0","0","1","0","0"
"Pessoa","lista completa","Dados inválidos","0","0","1","0","0"
"Pessoa","listar todas as pessoas","Dados válidos","0","0","1","0","0"
"Pessoa","adicionar pessoa","Dados válidos","0","0","1","0","0"
"Pessoa","consultar pessoa pelo nome","Dados inválidos","0","0","2","0","0"
"Endereco","listar endereco por idEndereco","Dados válidos","0","0","1","0","0"
"Pessoa","deletar pessoa","Dados válidos","0","0","1","0","0"
"Endereco","listar endereco por país","Dados inválidos","0","0","1","0","0"
"Contato","atualizar contato","Dados inválidos","0","0","1","0","0"
"Contato","adicionar contato","Dados válidos","0","0","1","0","0"
"Contato","deletar contato","Dados inválidos","0","0","1","0","0"
"Contratos Contato","","","0","0","2","0","0"
"Endereco","adicionar endereco","Dados inválidos","0","0","1","0","0"
"Pessoa","deletar pessoa","Dados inválidos","0","0","1","0","0"
"Endereco","listar endereco por pagina","Dados inválidos","0","0","1","0","0"
"Endereco","listar endereco por idPessoa","Dados inválidos","0","0","1","0","0"
"Endereco","adicionar endereco","Dados válidos","0","0","1","0","0"
"Pessoa","lista com enderecos","Dados válidos","0","0","1","0","0"
"Pessoa","adicionar pessoa","Dados inválidos","0","0","1","0","0"
"Pessoa","listar relatorio","Dados inválidos","0","0","1","0","0"
"Pessoa","lista com contatos sem passar idPessoa","Dados válidos","0","0","1","0","0"
"Contato","listar contato por idPessoa","Dados inválidos","0","0","1","0","0"
"Contato","listar contatos","Dados válidos","0","0","1","0","0"
"Pessoa","atualizar pessoa","Dados válidos","0","0","1","0","0"
"Endereco","listar endereco por idEndereco","Dados inválidos","0","0","1","0","0"
